4688,MMAA,large_airport,General Juan N Alvarez International Airport,16.757099151611328,-99.75399780273438,16,NA,MX,MX-GRO,Acapulco,yes,MMAA,ACA,0,,,http://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,
19228,KACB,small_airport,Antrim County Airport,44.9886016846,-85.1984024048,623,NA,US,US-MI,Bellaire,no,KACB,ACB,0,ACB,,,
2090,DGAA,large_airport,Kotoka International Airport,5.605189800262451,-0.16678600013256073,205,AF,GH,GH-AA,Accra,yes,DGAA,ACC,0,,,http://en.wikipedia.org/wiki/Kotoka_International_Airport,
30613,SKAD,small_airport,Alcides Fernández Airport,8.51667,-77.3,50,SA,CO,CO-CHO,Acandí,no,SKAD,ACD,0,ACD,,http://en.wikipedia.org/wiki/Alcides_Fern%C3%A1ndez_Airport,
3082,GCRR,medium_airport,Lanzarote Airport,28.945499420166016,-13.605199813842773,46,EU,ES,ES-CN,Lanzarote Island,yes,GCRR,ACE,0,,,http://en.wikipedia.org/wiki/Arrecife_Airport,
26897,YBAF,small_airport,Brisbane Archerfield Airport,-27.5702991486,153.007995605,63,OC,AU,AU-QLD,Brisbane,no,YBAF,ACF,0,,,http://en.wikipedia.org/wiki/Archerfield_Airport,RAAF Station Archerfield
4506,LSZR,medium_airport,St Gallen Altenrhein Airport,47.4850006104,9.560770034789998,1306,EU,CH,CH-SG,Altenrhein,yes,LSZR,ACH,0,,,http://en.wikipedia.org/wiki/St._Gallen-Altenrhein_Airport,
2424,EGJA,medium_airport,Alderney Airport,49.70610046386719,-2.2147200107574463,290,EU,GG,GG-U-A,Saint Anne,yes,EGJA,ACI,0,,,http://en.wikipedia.org/wiki/Alderney_Airport,Channel Islands
26464,VCCA,medium_airport,Anuradhapura Air Force Base,8.30148983002,80.42790222170001,324,AS,LK,LK-7,Anuradhapura,no,VCCA,ACJ,0,,,http://en.wikipedia.org/wiki/Anuradhapura_Airport,SLAF Anuradhapura
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA,Nantucket,yes,KACK,ACK,0,ACK,,http://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,
40726,SK-048,small_airport,Aguaclara Airport,4.753611111110001,-73.00277777779999,1090,SA,CO,CO-CAS,Aguaclara,no,,ACL,0,ACL,,,
41025,SK-001,small_airport,Arica Airport,-2.14543733597,-71.7580604553,316,SA,CO,CO-AMA,Arica,no,,ACM,0,,,,
43060,MMCC,small_airport,Ciudad Acuña New International Airport,29.33289909362793,-101.0989990234375,1410,NA,MX,MX-COA,Ciudad Acuña,no,MMCC,ACN,0,,,,
30614,LSZD,closed,Ascona Airport,46.157798767100005,8.78194046021,655,EU,CH,CH-TI,Ascona,no,LSZD,ACO,0,,,,
5201,OITM,small_airport,Sahand Airport,37.347999572753906,46.127899169921875,4396,AS,IR,IR-01,Maragheh,no,OITM,ACP,0,,,http://en.wikipedia.org/wiki/Sahand_Airport,Maragheh Highway Strip
30615,SKAC,small_airport,Araracuara Airport,-0.5833,-72.4083,1250,SA,CO,CO-CAQ,Araracuara,no,SKAC,ACR,0,ACR,,http://en.wikipedia.org/wiki/Araracuara_Airport,
30616,UNKS,medium_airport,Achinsk Airport,56.2682991027832,90.57080078125,1033,AS,RU,RU-KYA,Achinsk,no,UNKS,ACS,0,,,http://en.wikipedia.org/wiki/Achinsk_Airport,
3361,KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516,NA,US,US-TX,Waco,yes,KACT,ACT,0,ACT,,http://en.wikipedia.org/wiki/Waco_Regional_Airport,
42182,PA-0001,small_airport,Achutupo Airport,8.43165969849,-77.96520233150001,1047,NA,PA,PA-5,Achutupo,no,,ACU,0,,,http://en.wikipedia.org/wiki/Achutupo_Airport,
3362,KACV,medium_airport,Arcata Airport,40.97809982299805,-124.10900115966797,221,NA,US,US-CA,Arcata/Eureka,yes,KACV,ACV,0,ACV,,http://en.wikipedia.org/wiki/Arcata-Eureka_Airport,
301647,ZUYI,medium_airport,Xingyi Airport,25.0863888889,104.959444444,4150,AS,CN,CN-52,Xingyi,yes,ZUYI,ACX,0,,,http://en.wikipedia.org/wiki/Xingyi_Airport,
3363,KACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75,NA,US,US-NJ,Atlantic City,yes,KACY,ACY,0,ACY,,http://en.wikipedia.org/wiki/Atlantic_City_International_Airport,
5207,OIZB,medium_airport,Zabol Airport,31.09830093383789,61.54389953613281,1628,AS,IR,IR-13,,no,OIZB,ACZ,0,,,http://en.wikipedia.org/wiki/Zabol_Airport,
4512,LTAF,large_airport,Adana Airport,36.9822006226,35.280399322499996,65,AS,TR,TR-01,Adana,yes,LTAF,ADA,0,,,http://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,"Şakirpaşa, Sakirpasa"
4533,LTBJ,large_airport,Adnan Menderes International Airport,38.2924003601,27.156999588,412,AS,TR,TR-35,İzmir,yes,LTBJ,ADB,0,,http://www.adnanmenderesairport.com,http://en.wikipedia.org/wiki/Adnan_Menderes_Airport,
301695,ADC,small_airport,Andakombe Airport,-7.13722222222,145.744722222,3600,OC,PG,PG-EHG,Andekombe,no,AYAN,ADC,0,ADK,,http://en.wikipedia.org/wiki/Andakombe_Airport,
3157,HAAB,large_airport,Addis Ababa Bole International Airport,8.97789001465,38.799301147499996,7630,AF,ET,ET-AA,Addis Ababa,yes,HAAB,ADD,0,,http://www.ethiopianairports.com,http://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport"
5311,OYAA,medium_airport,Aden International Airport,12.829500198364258,45.02880096435547,7,AS,YE,YE-AD,Aden,yes,OYAA,ADE,0,,,http://en.wikipedia.org/wiki/Aden_International_Airport,
4561,LTCP,medium_airport,Adıyaman Airport,37.7313995361,38.4688987732,2216,AS,TR,TR-02,Adıyaman,yes,LTCP,ADF,0,,,http://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport,
19234,KADG,small_airport,Lenawee County Airport,41.8676986694,-84.07730102539999,798,NA,US,US-MI,Adrian,no,KADG,ADG,0,ADG,,http://en.wikipedia.org/wiki/Lenawee_County_Airport,
30617,UEEA,small_airport,Aldan Airport,58.60279846191406,125.40899658203125,2241,AS,RU,RU-SA,Aldan,no,UEEA,ADH,0,,,http://en.wikipedia.org/wiki/Aldan_Airport,
3024,FYAR,medium_airport,Arandis Airport,-22.462200164794922,14.979999542236328,1905,AF,NA,NA-ER,Arandis,no,FYAR,ADI,0,,,,
5213,OJAM,medium_airport,Amman-Marka International Airport,31.972700119018555,35.991600036621094,2555,AS,JO,JO-AM,Amman,yes,OJAM,ADJ,0,,,http://en.wikipedia.org/wiki/Marka_Airport,King Abdullah Air Base
